IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.245.8.185	80	80	FALSE	NRT	Asia Pacific	Tokyo	82	11.19
8.218.3.12	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	135	11.19
47.245.4.219	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	86	11.19
47.245.59.133	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	76	11.19
8.218.110.180	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	76	11.18
47.74.52.104	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	104	11.18
8.219.206.180	8443	8443	TRUE	SIN	Asia Pacific	Singapore	176	11.17
8.222.131.102	2087	2087	TRUE	SIN	Asia Pacific	Singapore	119	11.17
47.245.8.156	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	77	11.17
47.236.145.180	2052	2052	FALSE	SIN	Asia Pacific	Singapore	38	11.17
47.74.2.106	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	130	11.17
8.222.167.8	2096	2096	TRUE	SIN	Asia Pacific	Singapore	74	11.15
8.219.238.145	2083	2083	TRUE	SIN	Asia Pacific	Singapore	32	11.15
47.74.43.24	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	82	11.15
47.91.16.198	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	80	11.15
47.74.5.150	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	79	11.14
47.74.15.120	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	199	11.14
47.74.13.200	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	91	11.14
8.222.211.124	2082	2082	FALSE	SIN	Asia Pacific	Singapore	7	11.14
8.222.154.227	2095	2095	FALSE	SIN	Asia Pacific	Singapore	7	11.13
47.245.37.89	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	83	11.13
8.219.209.14	2082	2082	FALSE	SIN	Asia Pacific	Singapore	11	11.13
8.222.249.190	2086	2086	FALSE	SIN	Asia Pacific	Singapore	4	11.13
47.74.47.225	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	94	11.13
47.245.55.99	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	241	11.12
8.222.215.228	2096	2096	TRUE	SIN	Asia Pacific	Singapore	44	11.12
47.245.11.62	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	124	11.12
47.245.113.117	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	11.12
47.91.29.108	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	86	11.11
47.74.26.196	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	171	11.11
8.219.193.22	8080	8080	FALSE	SIN	Asia Pacific	Singapore	10	11.11
8.222.212.219	2087	2087	TRUE	SIN	Asia Pacific	Singapore	31	11.1
8.209.215.247	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	76	11.1
47.245.58.175	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	139	11.1
47.74.10.135	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	72	11.1
47.74.9.174	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	87	11.1
47.74.13.239	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	76	11.1
47.245.15.207	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	77	11.1
47.74.32.22	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	84	11.09
47.74.50.249	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	149	11.09
8.219.251.81	2082	2082	FALSE	SIN	Asia Pacific	Singapore	36	11.09
8.219.238.145	443	443	TRUE	SIN	Asia Pacific	Singapore	194	11.09
8.219.202.130	8080	8080	FALSE	SIN	Asia Pacific	Singapore	19	11.09
47.74.52.188	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	81	11.09
47.236.7.246	2086	2086	FALSE	SIN	Asia Pacific	Singapore	35	11.08
47.245.53.101	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	87	11.08
47.245.82.78	2096	2096	TRUE	SIN	Asia Pacific	Singapore	5	11.08
47.245.62.84	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	74	11.08
47.245.56.207	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	104	11.08
8.219.201.8	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	11.08
8.219.228.186	2083	2083	TRUE	SIN	Asia Pacific	Singapore	174	11.08
47.245.54.140	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	181	11.07
47.74.8.255	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	118	11.07
8.222.221.197	8880	8880	FALSE	SIN	Asia Pacific	Singapore	4	11.07
47.74.7.51	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	139	11.07
47.245.55.235	80	80	FALSE	NRT	Asia Pacific	Tokyo	74	11.07
8.222.187.4	2095	2095	FALSE	SIN	Asia Pacific	Singapore	4	11.07
47.91.31.235	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	93	11.07
47.245.11.62	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	90	11.06
47.74.11.251	80	80	FALSE	NRT	Asia Pacific	Tokyo	86	11.06
8.219.228.193	8880	8880	FALSE	SIN	Asia Pacific	Singapore	10	11.06
8.218.211.17	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	39	11.06
8.222.137.166	2082	2082	FALSE	SIN	Asia Pacific	Singapore	4	11.05
47.74.15.120	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	109	11.05
47.245.37.37	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	82	11.05
8.222.215.228	2095	2095	FALSE	SIN	Asia Pacific	Singapore	21	11.05
